episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.1715480410020973,True,False
2,410.0,702,1087,0.1,0.024585707891012797,0.8933518750018266,True,False
3,1000.0,744,1831,0.1,0.026604584878265496,7.54841212500105,True,False
4,280.0,362,2193,0.1,0.036141376955189056,10.463141375003033,True,False
5,700.0,597,2790,0.1,0.0329316840358641,15.978867000001628,True,False
6,1200.0,656,3446,0.1,0.03296406286138269,18.315154625001014,True,False
7,410.0,438,3884,0.1,0.0321098917814776,19.892856541002402,True,False
8,210.0,395,4279,0.1,0.03495861827490889,21.30841600000349,True,False
9,480.0,537,4816,0.1,0.03514316713920346,26.192058958000416,True,False
10,510.0,602,5418,0.1,0.03255621578078717,30.720644458000606,True,False
11,410.0,467,5885,0.1,0.03646567153632959,32.448026000001846,True,False
12,640.0,673,6558,0.1,0.035386406616973023,36.461775875002786,True,False
13,1100.0,598,7156,0.1,0.039074328099377456,41.937922958000854,True,False
14,300.0,410,7566,0.1,0.03371215302853242,45.94465145800132,True,False
15,880.0,566,8132,0.1,0.03681348075985279,48.02462100000048,True,False
16,420.0,483,8615,0.1,0.03761192025267519,49.74626562500271,True,False
17,970.0,684,9299,0.1,0.04220458076945479,52.186807666003006,True,False
18,330.0,508,9807,0.1,0.03607853098339805,54.01404562500102,True,False
19,2050.0,649,10456,0.1,0.03381343887821754,59.03695433300163,True,False
20,1660.0,947,11403,0.1,0.03976353953426735,66.00042058300096,True,False
21,460.0,423,11826,0.1,0.03836791123316254,67.56645420800123,True,False
22,410.0,455,12281,0.1,0.03836901261258805,69.22391779100144,True,False
23,1150.0,851,13132,0.1,0.04034856015361601,72.28924670800188,True,False
24,520.0,482,13614,0.1,0.03858182943270852,74.01867375000074,True,False
25,410.0,476,14090,0.1,0.04051217400789762,75.74299920800331,True,False
26,680.0,861,14951,0.1,0.041355049568986474,82.51763091600151,True,False
27,460.0,650,15601,0.1,0.03753139222315027,88.4609217080033,True,False
28,1390.0,716,16317,0.1,0.03613122883278814,95.06350100000054,True,False
29,750.0,778,17095,0.1,0.035803092149153504,100.00052220800353,True,False
30,910.0,867,17962,0.1,0.0371364033308893,103.07271375000346,True,False
31,390.0,492,18454,0.1,0.03803678486511353,104.83761545800007,True,False
32,380.0,473,18927,0.1,0.03460119142378602,106.5225655830036,True,False
33,1050.0,680,19607,0.1,0.04326283650144058,108.97721987500336,True,False
34,480.0,581,20188,0.1,0.043226105100411465,111.04551883300155,True,False
35,320.0,402,20590,0.1,0.04300910033285618,112.47556783300024,True,False
36,2420.0,1089,21679,0.1,0.04808235565981116,116.2908105830029,True,False
37,400.0,578,22257,0.1,0.05185315169650933,118.34923504100152,True,False
38,1520.0,1012,23269,0.1,0.05103010658483967,121.94880175000071,True,False
39,670.0,618,23887,0.1,0.048684530220200105,124.15635362500325,True,False
40,900.0,573,24460,0.1,0.05020542519115326,126.2177147500006,True,False
41,730.0,604,25064,0.1,0.0486729225353492,128.38142691600297,True,False
42,470.0,512,25576,0.1,0.05079875882802298,130.20864820800125,True,False
43,650.0,562,26138,0.1,0.04645209444154586,132.20090304100086,True,False
44,570.0,490,26628,0.1,0.052751498524008726,133.99811375000354,True,False
45,1130.0,587,27215,0.1,0.05505412228864758,136.09164920800322,True,False
46,440.0,414,27629,0.1,0.06343168716053836,137.58986504100176,True,False
47,240.0,331,27960,0.1,0.058878317733396246,138.81295175000196,True,False
48,500.0,529,28489,0.1,0.06593364443291318,140.78302545800034,True,False
49,870.0,606,29095,0.1,0.07079721131787592,142.98854966600265,True,False
50,460.0,429,29524,0.1,0.06709047018860777,144.55913758300085,True,False
51,320.0,445,29969,0.1,0.07096305338514818,147.06409262500165,True,False
52,550.0,574,30543,0.1,0.07909567058867925,149.14457754100295,True,False
53,600.0,606,31149,0.1,0.07512488719198461,151.3255577500022,True,False
54,420.0,527,31676,0.1,0.07207921728717559,153.35413337500358,True,False
55,640.0,818,32494,0.1,0.0666449440131877,156.4644220830014,True,False
56,320.0,408,32902,0.1,0.06193638347344948,157.96608466600082,True,False
57,410.0,377,33279,0.1,0.06167622759660825,160.26713491600094,True,False
58,560.0,673,33952,0.1,0.06729571316281013,165.69613120800204,True,False
59,350.0,526,34478,0.1,0.06098137538567299,169.44890154100358,True,False
60,320.0,493,34971,0.1,0.05978965042613265,175.1518032080021,True,False
61,1170.0,775,35746,0.1,0.06396901079443927,178.04648666600042,True,False
62,590.0,652,36398,0.1,0.06661688755523482,180.410376541,True,False
63,510.0,534,36932,0.1,0.0690819478399162,182.31152191600268,True,False
64,320.0,319,37251,0.1,0.06105060184586652,183.46440158300175,True,False
65,1300.0,955,38206,0.1,0.0694881661066388,186.87230012500004,True,False
66,1050.0,724,38930,0.1,0.06223603841740617,189.47742808300245,True,False
67,730.0,602,39532,0.1,0.06317462131307022,191.6418147080003,True,False
68,1610.0,1464,40996,0.1,0.06687928319913768,196.86478079100198,True,False
69,680.0,519,41515,0.1,0.0670675014167331,198.73572104100094,True,False
70,290.0,459,41974,0.1,0.06699190524447224,200.43563370800257,True,False
71,320.0,333,42307,0.1,0.06088323233626693,201.6501947910001,True,False
72,1670.0,1011,43318,0.1,0.07606117181818593,205.31497025000135,True,False
73,510.0,456,43774,0.1,0.07063432341735613,206.98429837500225,True,False
74,1500.0,1105,44879,0.1,0.06570130152006944,214.41816133300017,True,False
75,1020.0,758,45637,0.1,0.06831231275573373,217.2146320000029,True,False
76,210.0,367,46004,0.1,0.081979818014509,219.562393375003,True,False
77,870.0,951,46955,0.1,0.08078707682306756,222.96563904100185,True,False
78,250.0,403,47358,0.1,0.06933316858577551,224.44028350000008,True,False
79,790.0,711,48069,0.1,0.06419414176678892,227.07951395800046,True,False
80,1080.0,672,48741,0.1,0.06234695997443937,229.67354070800138,True,False
81,930.0,706,49447,0.1,0.07873913895508106,236.51108004100024,True,False
82,460.0,499,49946,0.1,0.08015510807186366,238.36250791600105,True,False
83,700.0,664,50610,0.1,0.07739296106688948,240.74551358300232,True,False
84,720.0,637,51247,0.1,0.07597611593258269,243.08633650000047,True,False
85,230.0,392,51639,0.1,0.08115847479095872,244.50937904100283,True,False
